name,city,region,website,email,address,booking_url,notes
Ullevaal Stadion Fotballfesten,Oslo,Oslo,https://www.fotballfesten.no,info@fotballfesten.no,Ullevaal Stadion Oslo,https://fanparks.fanparks.com/booking/fotballfesten-ullevaal-2026,35000 fans / 4 storskjermer — Norges-kamper
Fotballfesten Kongens gate,Oslo,Oslo,https://www.fotballfesten.no,info@fotballfesten.no,Kongens gate Oslo,https://fanparks.fanparks.com/booking/fotballfesten-kongensgate-2026,Sentrum fan zone
Lille Slottsparken / Fotball i parken,Oslo,Oslo,,,Lille Slottsparken Oslo,https://www.ticketmaster.no/artist/fotball-i-parken-billetter/1391524,Storskjerm utendørs
VM på Lekter'n Aker Brygge,Oslo,Oslo,,,Aker Brygge Oslo,https://www.ticketmaster.no/artist/vm-pa-lekter-n-billetter/1446543,Mat og Drikke-gruppen + VG
Box Sports Solli,Oslo,Oslo,https://www.boxoslo.no,post@boxoslo.no,Solli plass Oslo,,Sportsbar
Pokalen Vulkan,Oslo,Oslo,https://pokalenpub.no,post@pokalenpub.no,Vulkan Oslo,,Football pub
TGI Fridays Oslo City,Oslo,Oslo,https://fridays.no/oslo-city,oslocity@fridays.no,Jernbanetorget Oslo,,
O'Learys Vika,Oslo,Oslo,https://olearys.com/no-no/vika-oslo,salg@resthon.no,Aker Brygge Oslo,,Sportsbar-kjede
Scotsman Pub,Oslo,Oslo,https://scotsman.no,salg@resthon.no,Karl Johans gate Oslo,https://scotsman.no/booking,
Highbury,Oslo,Oslo,https://www.highbury.no,post@highbury.no,Bogstadveien Oslo,,Football pub
Dr. Jekylls,Oslo,Oslo,https://jekylls.no,salg@resthon.no,Nationaltheatret Oslo,https://jekylls.no/booking,
O'Connor's Oslo,Oslo,Oslo,https://oconnors.no/oslo,salg@resthon.no,Grünerløkka Oslo,https://oconnors.no/oslo/booking,
Bohemen,Oslo,Oslo,https://www.bohemen.no,post@bohemen.no,Oslo,,
The Wild Rover,Oslo,Oslo,https://thewildrover.no,post@thewildrover.no,Oslo sentrum,,40 skjermer
Øst Stadionpub Vålerenga,Oslo,Oslo,https://www.øst-stadionpub.no,post@xn--st-stadionpub-9mb.no,Vålerenga Oslo,,2000 kapasitet / 20+
The Lannisters,Oslo,Oslo,https://www.lannisters.no,post@lannisters.no,Nationaltheatret Oslo,,
Panda Restaurant,Oslo,Oslo,https://www.pandarestaurant.no,kontakt@pandarestaurant.no,Oslo,,
Grønland Boulebar,Oslo,Oslo,,salg@resthon.no,Grønland Oslo,https://portal.gastroplanner.no/p/QzcTsG/restaurant/2060,400 kapasitet
Sir Winston,Oslo,Oslo,,salg@resthon.no,Oslo Domkirke Oslo,https://www.resthon.no/lokaler/sir-winston,
Carls,Oslo,Oslo,https://www.carls.no,post@carls.no,Carl Berners plass Oslo,,
Sentralpuben,Oslo,Oslo,https://oslo-s.no/spisesteder/sentralpuben,post@sentralpuben.no,Oslo S,,
Beer Palace,Oslo,Oslo,https://www.beerpalace.no,post@beerpalace.no,Aker Brygge Oslo,https://www.beerpalace.no/bestill-bord,
Hasle Linie Gastropub,Oslo,Oslo,https://www.hasleliniegastropub.no,post@hasleliniegastropub.no,Vinslottet Oslo,,
Vålerenga Vertshus,Oslo,Oslo,https://vvertshus.no,post@vvertshus.no,Vålerenga Oslo,,
Bernie's Sportsbar,Oslo,Oslo,https://bernies.no,post@bernies.no,Grønland Oslo,,Bydelspub
Store Stå Pub,Oslo,Oslo,https://www.facebook.com/storestapub,post@storesta.no,"Theresesgate 51 Bislett Oslo",,8 skjermer / +47 478 69 134
Magneten Pub,Oslo,Oslo,https://www.facebook.com/magnetenpub,post@magnetenpub.no,Torshov Oslo,,Sportsbar
Dubliner,Oslo,Oslo,https://www.dubliner.no,post@dubliner.no,Akershus festning Oslo,,
Vesper,Oslo,Oslo,,post@vesper.no,Bjørvika Oslo,https://book.easytable.com/book/?id=92865&lang=no,
Proud Mary Oslo,Oslo,Oslo,https://proudmarypub.no/oslo,post@proudmarypub.no,Nationaltheatret Oslo,,
Lincoln Sportsbar,Oslo,Oslo,https://www.lincoln-sportsbar.no,lincolnpub43@hotmail.com,"Vogts gate 43 0474 Oslo",,+47 908 08 458
Crafty Dog,Oslo,Oslo,https://www.facebook.com/BD57Bar,post@craftydog.no,Grünerløkka Oslo,,
O'Reilly's,Oslo,Oslo,https://www.oreillys.no,post@oreillys.no,Oslo,,
The Old Irish Majorstuen,Oslo,Oslo,https://oldirishpub.no,post@oldirishpub.no,Majorstuen Oslo,https://oldirishpub.no/en/page/sportsbar-majorstuen,
Haandtryk,Oslo,Oslo,https://www.haandtryk.com,post@haandtryk.com,Skippergata 3 Oslo,,
TAKET Steen & Strøm,Oslo,Oslo,https://www.taketsteenogstrom.no/fotball-vm-oslo,post@taketsteenogstrom.no,Steen & Strøm Oslo,,Reserverte bord 400 kr/p
Jordal Amfi VM,Oslo,Oslo,https://www.fotballpajordal.no,post@fotballpajordal.no,Jordal Amfi Oslo,,Storskjerm + lysshow
FotballFestivalen Festplassen,Bergen,Vestland,https://www.fotballfestivalen.no,post@fotballfestivalen.no,Festplassen Bergen,,Offisiell VM-fest sentrum
Trekanttomten AdO Arena,Bergen,Vestland,,,"Trekanttomten v/AdO Arena Bergen",https://vmfesten.ticketco.shop,Storskjerm
Marinehagen Fjordfolk,Bergen,Vestland,https://www.fjordfolk-norway.no,post@fjordfolk-norway.no,Marinehagen Bergen,,Storskjerm
House of Taste Fotball i bakgården,Bergen,Vestland,,post@houseoftaste.no,"Vestre Strømkaien Bergen",https://event.checkin.no/214667/vm-fotball-i-bakgarden,800 fans utendørs
Fotballpuben,Bergen,Vestland,https://www.fotballpuben.no,post@fotballpuben.no,Bergen sentrum,,Mange skjermer
Metz Sportsbar,Bergen,Vestland,https://www.metzbergen.no,post@metzbergen.no,Fisketorget Bergen,https://www.metzbergen.no/booking,
O'Connor's Bergen,Bergen,Vestland,https://oconnors.no/bergen,salg@resthon.no,Bryggen Bergen,,
Kniksen Sportsbar,Bergen,Vestland,https://www.facebook.com/p/Kniksen-Sportsbar-100066492820604,post@kniksensportsbar.no,Fyllingsdalen Bergen,,
Felix,Bergen,Vestland,https://www.felixbergen.no,post@felixbergen.no,Fisketorget Bergen,,Gratis inngang
Huset Pub,Bergen,Vestland,https://huset.pub,post@huset.pub,Bergen sentrum,,5 min fra Festplassen
Splitt Lagunen,Bergen,Vestland,https://splitt.no,post@splitt.no,Rådal/Smørås Bergen,https://splitt.no/kontakt,
Finnegans,Bergen,Vestland,https://finnegans.no,post@finnegans.no,Nationaltheatret Bergen,,
Game Sportsbar,Bergen,Vestland,,gamebergen@gmail.com,Zachariasbryggen Bergen,,Instagram @gamebergen
Fotballfest i Spektrum,Trondheim,Trøndelag,https://fotballfestispektrum.no,hei@fotballfestispektrum.no,Trondheim Spektrum,,Trondheims største VM-arena / 4000 kap
Clarion Hotel Trondheim,Trondheim,Trøndelag,https://vm-festen.no,post@vm-festen.no,Clarion Hotel Trondheim,,
Lille London,Trondheim,Trøndelag,https://lillelondon.no,post@lillelondon.no,Trondheim,,
Mellomveien,Trondheim,Trøndelag,,,Lademoen Trondheim,,IG: @mellomveien
Brooklyn Diner & Sportsbar,Trondheim,Trøndelag,https://brooklyndiner.no,post@brooklyndiner.no,Solsiden Trondheim,,
Cafe Dublin,Trondheim,Trøndelag,https://cafedublin.no,post@cafedublin.no,Trondheim Torg,,Irish pub
Quality Hotel Prinsen,Trondheim,Trøndelag,https://prinsenhotel.hoopla.no,post@prinsenhotel.no,Trondheim,,Storsal + buffet
Fotball i Dokken / Solsiden,Trondheim,Trøndelag,https://trondheimstage.no,post@trondheimstage.no,Solsiden Trondheim,,Utendørs 10x5m skjerm
Havet Arena,Trondheim,Trøndelag,https://havetarena.no/fotball-vm,post@havetarena.no,Trondheim,,Inne + ute skjermer
Three Lions,Trondheim,Trøndelag,https://threelions.no,post@threelions.no,Trondheim,,Fotballpub
Champs Sportsbar,Stavanger,Rogaland,,post@champssportsbar.no,Stavanger,,22 flatskjermer
Fiskepiren,Stavanger,Rogaland,https://fotballfestistavanger.no/fiskepiren,post@fotballfestistavanger.no,Fiskepiren Stavanger,,
Eastside,Stavanger,Rogaland,https://fotballfestistavanger.no/eastside,post@fotballfestistavanger.no,Stavanger,,
O'Connor's Stavanger,Stavanger,Rogaland,https://oconnors.no/stavanger,salg@resthon.no,Stavanger,https://portal.gastroplanner.no,350 standing / 24 skjermer
Stavanger Sportscafé,Stavanger,Rogaland,https://sportscafeen.no,post@sportscafeen.no,"Skagenkaien 14A Stavanger",,
Beverly Hills Fun Pub,Stavanger,Rogaland,https://beverlystavanger.no,post@beverlystavanger.no,Stavanger,,
O'Learys Stavanger,Stavanger,Rogaland,https://olearys.com/no-no/stavanger,salg@resthon.no,Skagenkaien Stavanger,,
Madame Aase Pub,Stavanger,Rogaland,https://madameaase.pub,post@madameaase.pub,Sandnes,,Alle VM-kamper
Madla Spiseri,Stavanger,Rogaland,https://www.facebook.com/kafenmadla,post@madlaspiseri.no,"AMFI Madla Stavanger",,
Stavanger Konserthus VM,Stavanger,Rogaland,https://www.stavanger-konserthus.no,post@stavanger-konserthus.no,Stavanger Konserthus,,55 m2 skjerm i amfiet
Gravane VM på Storskjerm,Kristiansand,Agder,https://vmstorskjerm.no,post@vmstorskjerm.no,Gravane Kristiansand,,Sentrum storskjerm
Telfords Pub,Kristiansand,Agder,https://www.caledonien.no/telfords,post@caledonien.no,Radisson Blu Caledonien Kristiansand,,Historisk pub
Victoria Pub,Kristiansand,Agder,https://www.victoriapub.no,post@victoriapub.no,Kristiansand Domkirke,,Fotball året rundt
Håndverkeren,Kristiansand,Agder,https://hvkn.no,post@hvkn.no,"Wergelandsparken Kristiansand",,Stor pub/restaurant
VM-fest Tangenkaia,Drammen,Buskerud,https://gatewaystudios.no/VMfest,post@gatewaystudios.no,Tangenkaia Drammen,,Utendørs festival + storskjerm
Union Scene Drammen,Drammen,Buskerud,https://unionscene.no/program/44379-vm-2026,post@unionscene.no,Union Scene Drammen,,Alle Norges-kamper
Kings Arms Pub,Drammen,Buskerud,https://kingsarms.no,post@kingsarms.no,Drammen stasjon,,English pub
Lauritz Public Bar,Drammen,Buskerud,https://www.facebook.com/lauritzdrammen,post@lauritzdrammen.no,Drammen Kino,,
Dickens Drammen,Drammen,Buskerud,https://dickens.no,post@dickens.no,Drammen Kino,,Drammens eldste pub
Barkaden Union,Drammen,Buskerud,https://barkaden.no/union,post@barkaden.no,Union Drammen,https://barkaden.no/union/bestilling-union,
Kometen,Drammen,Buskerud,https://kometendrammen.no,post@kometendrammen.no,Strømsø Drammen,,Pizza-bar-scene
Rekord Bar,Drammen,Buskerud,https://rekordbar.no,post@rekordbar.no,Drammen stasjon,,Shuffleboard
Blårock Cafe,Tromsø,Troms,https://www.blarock.no,post@blarock.no,Tromsø sentrum,,Rock'n'roll-sted
Hjemmebane,Tromsø,Troms,https://selfservice.munu.app/booking/hjemmebane,post@hjemmebane.no,Tromsø sentrum,,Sportsrestaurant
O'Learys Tromsø Airport,Tromsø,Troms,https://olearys.com/en-no/tromsoe-airport,salg@resthon.no,Tromsø Lufthavn,,
Sportsbaren Bodø,Bodø,Nordland,https://www.sportsbarenbodo.no,post@sportsbarenbodo.no,Bodø sentrum,,200+ seter
VM Bonanza Værste Hangarn,Fredrikstad,Østfold,,post@saintsbar.no,Værste Hangarn Fredrikstad,https://www.ticketmaster.no/artist/vm-bonanza-billetter/1447013,Saints Bar arr.
Olsen's Pub,Sarpsborg,Østfold,https://www.dickens-sarpsborg.no,post@dickens-sarpsborg.no,Sarpsborg sentrum,https://www.dickens-sarpsborg.no/dickens-sarpsborg/bordreservasjon,15 store skjermer
Barkaden Fredrikstad,Fredrikstad,Østfold,https://www.barkaden.no/fredrikstad,post@barkaden.no,Fredrikstad,,
Borg Bierstube,Sarpsborg,Østfold,https://www.borgbierstube.no,post@borgbierstube.no,Storbyen Sarpsborg,,Tysk-inspirert gastropub
Saints Bar Fredrikstad,Fredrikstad,Østfold,https://www.facebook.com/SaintsFredrikstad,post@saintsbar.no,Fredrikstad Stadion,,
O'Connor's Ålesund,Ålesund,Møre og Romsdal,https://oconnors.no/aalesund,salg@resthon.no,Ålesund,,
Liv & Røre Moa,Ålesund,Møre og Romsdal,,salg@resthon.no,Moa Ålesund,,Reservasjoner mulig
Nystua Skeikampen,Skeikampen,Innlandet,,post@nystua.no,Skeikampen,,Alle VM-kamper
O'Connor's Lillestrøm,Lillestrøm,Akershus,https://oconnors.no/lillestrom,salg@resthon.no,Lillestrøm,,
O'Connor's Jessheim,Jessheim,Akershus,https://oconnors.no/jessheim,salg@resthon.no,Jessheim,,
O'Connor's Harstad,Harstad,Troms,https://oconnors.no/harstad,salg@resthon.no,Harstad,,
Resthon HQ (kjede),Oslo,Oslo,https://www.resthon.no,salg@resthon.no,Oslo,,+47 904 10 383 — kjede for O'Connor's m.fl.
O'Learys Norge HQ,Oslo,Oslo,https://olearys.com/en-no,post@olearys.no,Norge,,Sportsbar-kjede
Fotballfesten.no (organisator),Oslo,Oslo,https://www.fotballfesten.no,info@fotballfesten.no,"von Øtkens vei 4 J 1169 Oslo",,Norges største VM-fest org / partner@fotballfesten.no
