name,type,owner_group,region,website,primary_email,secondary_email,phone,address,social,editor,notes
NRK P1,national-public,NRK,Hele Norge,https://radio.nrk.no/direkte/p1,musikkprodusenter.p1@nrk.no,atle.bredal@nrk.no,815 65 900,"Musikkprodusenter NRK P1, Postboks 2450, Torgarden, 7005 Trondheim",fb:nrkp1,Atle Bredal (musikksjef),Send link til nedlasting (ikke vedlegg). Musikkmøte mandag kl 12.
NRK P2,national-public,NRK,Hele Norge,https://radio.nrk.no/direkte/p2,ingvei.eikaas@nrk.no,,815 65 900,"NRK P2 v/Ingvei Eikaas, PB 8500 Majorstuen, 0340 Oslo",fb:nrkp2,Ingvei Eikaas,Klassisk / folkemusikk / jazz
NRK P3,national-public,NRK,Hele Norge,https://radio.nrk.no/direkte/p3,musikkprodusenterp3@nrk.no,ida.eline.tangen@nrk.no,815 65 900,"NRK P3, 0340 Oslo",ig:nrkp3,Ida Eline Tangen (musikksjef),Links only - no attachments
NRK mP3,national-public,NRK,Hele Norge,https://radio.nrk.no/direkte/mp3,musikkprodusenterp3@nrk.no,,815 65 900,"NRK, 0340 Oslo",,Ida Eline Tangen,Same redaksjon som P3
NRK P13,national-public,NRK,Hele Norge,https://radio.nrk.no/direkte/p13,kristin.winsents@nrk.no,,815 65 900,"NRK, 0340 Oslo",,Kristin Winsents (musikksjef),Rock/indie
NRK Folkemusikk,national-public,NRK,Hele Norge,https://radio.nrk.no/direkte/folkemusikk,leiv.solberg@nrk.no,,815 65 900,"NRK Folkemusikk v/Leiv Solberg, DSL, PB 8500 Majorstuen, 0340 Oslo",,Leiv Solberg,
NRK Jazz,national-public,NRK,Hele Norge,https://radio.nrk.no/direkte/jazz,ingvei.eikaas@nrk.no,,815 65 900,"NRK, 0340 Oslo",,,
NRK Klassisk,national-public,NRK,Hele Norge,https://radio.nrk.no/direkte/klassisk,ingvei.eikaas@nrk.no,,815 65 900,"NRK, 0340 Oslo",,,
NRK Sápmi,national-public,NRK,Sápmi/Hele Norge,https://www.nrk.no/sapmi/,nyheter.sapmi@nrk.no,,78 46 92 01,"Mari Boine geaidnu 12, 9730 Kárášjohka/Karasjok",fb:nrksapmi,,
NRK P1+,national-public,NRK,Hele Norge,https://radio.nrk.no/direkte/p1pluss,musikkprodusenter.p1@nrk.no,,815 65 900,"Musikkprodusenter NRK P1, Postboks 2450, Torgarden, 7005 Trondheim",,Atle Bredal,For voksne lyttere
NRK Sport,national-public,NRK,Hele Norge,https://radio.nrk.no/direkte/sport,sport@nrk.no,,815 65 900,"NRK, 0340 Oslo",,,Tematisk passe for VM-album
NRK Nyheter,national-public,NRK,Hele Norge,https://radio.nrk.no/direkte/alltid_nyheter,redaksjonen.dab@nrk.no,,815 65 900,"NRK, 0340 Oslo",,,
NRK Digital Music Archive,music-archive,NRK,Hele Norge,https://bidra.nrk.no/musikkinntak,musikkinntak@nrk.no,,,"NRK, 0340 Oslo",,,Send WAV/FLAC + cover 3000x3000 via Bidra-portal
P4 Radio Hele Norge,national-commercial,P4-gruppen,Hele Norge,https://www.lydenavnorge.no/p4/,musikk@p4.no,p4@p4.no,61 24 84 44,"Postboks 817, 2626 Lillehammer",ig:p4radio,,Stort musikkvolum - alt blir hørt
P5 Hits,national-commercial,P4-gruppen,Hele Norge,https://www.lydenavnorge.no/p5/,musikk@p4.no,p4@p4.no,61 24 84 44,"Postboks 817, 2626 Lillehammer",,,
P6 Rock,national-commercial,P4-gruppen,Hele Norge,https://www.lydenavnorge.no/p6/,musikk@p4.no,p4@p4.no,61 24 84 44,"Postboks 817, 2626 Lillehammer",,,
P7 Klem,national-commercial,P4-gruppen,Hele Norge,https://www.lydenavnorge.no/p7/,musikk@p4.no,p4@p4.no,61 24 84 44,"Postboks 817, 2626 Lillehammer",,,
P8 Pop,national-commercial,P4-gruppen,Hele Norge,https://www.lydenavnorge.no/p8/,musikk@p4.no,p4@p4.no,61 24 84 44,"Postboks 817, 2626 Lillehammer",,,
P9 Retro,national-commercial,P4-gruppen,Hele Norge,https://www.lydenavnorge.no/p9/,musikk@p4.no,p4@p4.no,61 24 84 44,"Postboks 817, 2626 Lillehammer",,,
P10 Country,national-commercial,P4-gruppen,Hele Norge,https://www.lydenavnorge.no/p10/,musikk@p4.no,p4@p4.no,61 24 84 44,"Postboks 817, 2626 Lillehammer",,,
P11 Bandit,national-commercial,P4-gruppen,Hele Norge,https://www.lydenavnorge.no/p11/,musikk@p4.no,p4@p4.no,61 24 84 44,"Postboks 817, 2626 Lillehammer",,,
NRJ Norge,national-commercial,P4-gruppen,Hele Norge,https://www.nrj.no/,musikk@p4.no,p4@p4.no,61 24 84 44,"Postboks 817, 2626 Lillehammer",,,
Radio Norge,national-commercial,Bauer Media,Hele Norge,https://radioplay.no/radio-norge/,hei@radionorge.no,kristoffer.vangen@bauermedia.no,22 02 32 00,"Jernbanetorget 4a, 0154 Oslo",ig:radio_norge / fb:RadioNorge / tt:radionorge_offisiell,Kristoffer Vangen (sjefredaktør),Studio: 08282
Radio Rock,national-commercial,Bauer Media,Hele Norge,https://radioplay.no/radio-rock/,hei@radionorge.no,,22 02 32 00,"Jernbanetorget 4a, 0154 Oslo",,,
Kiss,national-commercial,Bauer Media,Hele Norge,https://radioplay.no/kiss/,hei@radionorge.no,,22 02 32 00,"Jernbanetorget 4a, 0154 Oslo",,,
Radio Norsk Pop,national-commercial,Bauer Media,Hele Norge,https://radioplay.no/norsk-pop/,hei@radionorge.no,,22 02 32 00,"Jernbanetorget 4a, 0154 Oslo",,,Norsk pop fokus - ekstra relevant for Stoch
Radio Topp 40,national-commercial,Bauer Media,Hele Norge,https://radioplay.no/topp-40/,hei@radionorge.no,,22 02 32 00,"Jernbanetorget 4a, 0154 Oslo",,,
Radio Vinyl,national-commercial,Bauer Media,Hele Norge,https://radioplay.no/vinyl/,hei@radionorge.no,,22 02 32 00,"Jernbanetorget 4a, 0154 Oslo",,,
P24-7 Fun,national-commercial,Bauer Media,Hele Norge,https://radioplay.no/p24-7-fun/,hei@radionorge.no,,22 02 32 00,"Jernbanetorget 4a, 0154 Oslo",,,
P24-7 Mix,national-commercial,Bauer Media,Hele Norge,https://radioplay.no/p24-7-mix/,hei@radionorge.no,,22 02 32 00,"Jernbanetorget 4a, 0154 Oslo",,,
P24-7 Kos,national-commercial,Bauer Media,Hele Norge,https://radioplay.no/p24-7-kos/,hei@radionorge.no,,22 02 32 00,"Jernbanetorget 4a, 0154 Oslo",,,
Bauer Media Norway (HQ),group-hq,Bauer Media,Hele Norge,https://www.bauermedia.no/,jim.receveur@bauermedia.no,norgesnyhetene@bauermedia.no,22 02 32 00,"Jernbanetorget 4a, 0154 Oslo",,Jim Receveur (CEO),Bauer-konsernet
1 FM Molde,local,Mediehuset Romsdals Budstikke,Møre og Romsdal,https://1fmmolde.com,post@1fm.no,,,Torget 1 6415 Molde,ig:1fmmolde / fb:1fmmolde,Stian Viken,
